iter	MultiClass
0	1.042272596
1	0.9824407119
2	0.9400583783
3	0.8974272395
4	0.8620356559
5	0.8300980218
6	0.7955263663
7	0.7674697729
8	0.7435967795
9	0.7192308516
10	0.7024035575
11	0.6814007736
12	0.6611205452
13	0.6456632137
14	0.6267490328
15	0.6089144182
16	0.5941036768
17	0.5794122913
18	0.5657975607
19	0.5541700732
20	0.5434829372
21	0.5339782053
22	0.5235786798
23	0.5149757875
24	0.5070096737
25	0.497965061
26	0.4870653104
27	0.4779966012
28	0.4715211071
29	0.4638825118
30	0.4550790315
31	0.4486133168
32	0.4422903819
33	0.4349280712
34	0.4287450831
35	0.4216481335
36	0.4167606456
37	0.4104118162
38	0.4037224263
39	0.3971361834
40	0.3913188295
41	0.3877599867
42	0.383666663
43	0.3785544076
44	0.3729509218
45	0.3693693325
46	0.3660067965
47	0.3606655669
48	0.3554906744
49	0.352351961
50	0.3493021957
51	0.3453417442
52	0.3413406116
53	0.3384084332
54	0.3334773454
55	0.3288820591
56	0.3234954864
57	0.3208759435
58	0.3170476218
59	0.3150489595
60	0.3136511101
61	0.3102940084
62	0.3070217647
63	0.3038382038
64	0.3009132267
65	0.2959681764
66	0.2928491407
67	0.2895588992
68	0.2873900232
69	0.2852457402
70	0.2831108575
71	0.2797515661
72	0.2763199355
73	0.2742065078
74	0.2716026788
75	0.2689295703
76	0.2663028522
77	0.2642401238
78	0.2607439027
79	0.2575808369
80	0.2555344149
81	0.2514871281
82	0.2484917402
83	0.2458747853
84	0.2438529357
85	0.2417599162
86	0.2403339101
87	0.2387047623
88	0.2357034016
89	0.2330031899
90	0.2305620805
91	0.2287958274
92	0.2269941393
93	0.2247998596
94	0.2232745737
95	0.2207695806
96	0.2194558862
97	0.2179893967
98	0.2169327717
99	0.215996469
