iter	Passed	Remaining
0	5	5580
1	10	5066
2	14	4904
3	19	4770
4	23	4719
5	28	4698
6	32	4644
7	37	4646
8	42	4664
9	46	4614
10	50	4572
11	55	4559
12	59	4527
13	64	4517
14	68	4501
15	73	4513
16	77	4495
17	82	4483
18	86	4474
19	90	4453
20	95	4436
21	99	4422
22	104	4418
23	107	4387
24	112	4369
25	116	4349
26	120	4347
27	124	4321
28	128	4304
29	132	4291
30	137	4283
31	141	4276
32	145	4273
33	150	4272
34	155	4276
35	159	4267
36	163	4256
37	167	4250
38	172	4242
39	176	4233
40	180	4223
41	185	4220
42	189	4208
43	193	4198
44	197	4190
45	201	4184
46	205	4176
47	210	4168
48	214	4158
49	219	4162
50	223	4153
51	227	4142
52	231	4133
53	235	4132
54	239	4123
55	243	4113
56	248	4103
57	252	4100
58	256	4090
59	260	4081
60	264	4076
61	269	4075
62	273	4075
63	278	4077
64	284	4090
65	288	4089
66	293	4091
67	299	4101
68	304	4102
69	308	4101
70	314	4113
71	319	4112
72	323	4108
73	328	4105
74	332	4105
75	337	4101
76	341	4099
77	347	4102
78	351	4099
79	356	4099
80	361	4097
81	366	4097
82	370	4093
83	374	4088
84	380	4090
85	395	4208
86	407	4277
87	418	4336
88	442	4530
89	452	4578
90	458	4583
91	465	4595
92	471	4599
93	477	4603
94	484	4612
95	489	4608
96	498	4637
97	505	4652
98	510	4648
99	515	4638
100	520	4631
101	526	4632
102	531	4625
103	536	4619
104	540	4605
105	545	4600
106	550	4591
107	554	4582
108	559	4577
109	564	4566
110	568	4552
111	572	4541
112	577	4532
113	581	4519
114	585	4508
115	590	4498
116	594	4487
117	598	4475
118	602	4464
119	607	4453
120	611	4441
121	615	4429
122	619	4418
123	624	4408
124	628	4397
125	632	4386
126	636	4374
127	641	4367
128	645	4356
129	649	4347
130	654	4338
131	658	4329
132	662	4320
133	667	4310
134	671	4301
135	675	4292
136	679	4283
137	684	4272
138	688	4263
139	692	4253
140	696	4243
141	700	4234
142	705	4229
143	710	4220
144	714	4210
145	718	4201
146	722	4194
147	726	4184
148	731	4175
149	735	4169
150	739	4159
151	744	4151
152	748	4142
153	752	4135
154	757	4126
155	761	4118
156	765	4109
157	770	4103
158	774	4094
159	778	4086
160	782	4077
161	787	4071
162	791	4063
163	795	4054
164	799	4048
165	804	4040
166	808	4032
167	812	4025
168	817	4019
169	821	4011
170	825	4003
171	830	3996
172	834	3989
173	838	3982
174	843	3974
175	847	3966
176	851	3960
177	855	3952
178	860	3946
179	864	3940
180	869	3933
181	873	3926
182	877	3918
183	882	3913
184	886	3907
185	891	3900
186	895	3893
187	900	3888
188	904	3881
189	908	3874
190	912	3866
191	917	3860
192	921	3853
193	925	3846
194	930	3841
195	934	3835
196	939	3828
197	943	3822
198	949	3822
199	954	3817
200	958	3811
201	963	3807
202	968	3800
203	972	3794
204	976	3787
205	981	3782
206	985	3776
207	989	3769
208	995	3766
209	999	3760
210	1004	3755
211	1008	3750
212	1014	3747
213	1018	3741
214	1023	3735
215	1028	3731
216	1032	3725
217	1036	3718
218	1040	3711
219	1045	3706
220	1049	3699
221	1053	3692
222	1057	3686
223	1062	3680
224	1066	3674
225	1071	3667
226	1075	3662
227	1079	3655
228	1083	3649
229	1088	3643
